dataset,route,dropped,n,n_noise,auc,full_auc,delta
keyword,iforest,loss_last,14611,1461,0.5818653820629133,0.5900625906002192,-0.008197208537305878
keyword,rf,loss_std,14611,1461,0.6785100574376111,0.6759175573790543,0.0025925000585567126
keyword,iforest,loss_std,14611,1461,0.5872334434199192,0.5900625906002192,-0.002829147180299918
keyword,rf,loss_slope,14611,1461,0.6723340698464253,0.6759175573790543,-0.0035834875326290483
keyword,iforest,loss_slope,14611,1461,0.5836488368037934,0.5900625906002192,-0.006413753796425725
keyword,rf,loss_min,14611,1461,0.672771189065253,0.6759175573790543,-0.0031463683138013288
keyword,iforest,loss_min,14611,1461,0.5885421465062474,0.5900625906002192,-0.0015204440939717845
keyword,rf,converge_epoch,14611,1461,0.674079709975198,0.6759175573790543,-0.0018378474038563963
keyword,iforest,converge_epoch,14611,1461,0.5776218694940441,0.5900625906002192,-0.012440721106175001
keyword,rf,loss_curvature,14611,1461,0.6748491449421329,0.6759175573790543,-0.001068412436921462
keyword,iforest,loss_curvature,14611,1461,0.5954788506231733,0.5900625906002192,0.005416260022954145
keyword,rf,loss_rank,14611,1461,0.6750346265254017,0.6759175573790543,-0.0008829308536526526
keyword,iforest,loss_rank,14611,1461,0.5933521755763931,0.5900625906002192,0.0032895849761739315
keyword,rf,grad_norm_mean,14611,1461,0.6757499030561389,0.6759175573790543,-0.0001676543229154337
keyword,iforest,grad_norm_mean,14611,1461,0.5909365687858985,0.5900625906002192,0.0008739781856793583
keyword,rf,grad_norm_last,14611,1461,0.6762203085026922,0.6759175573790543,0.0003027511236378677
keyword,iforest,grad_norm_last,14611,1461,0.5829996122245559,0.5900625906002192,-0.007062978375663276
keyword,rf,grad_norm_std,14611,1461,0.6743454532678539,0.6759175573790543,-0.0015721041112004563
keyword,iforest,grad_norm_std,14611,1461,0.5912576156234466,0.5900625906002192,0.0011950250232274362
keyword,rf,grad_norm_slope,14611,1461,0.6746756870001535,0.6759175573790543,-0.001241870378900889
keyword,iforest,grad_norm_slope,14611,1461,0.5865726636529488,0.5900625906002192,-0.00348992694727035
keyword,rf,cos_ref_mean,14611,1461,0.6770339342551459,0.6759175573790543,0.0011163768760915627
keyword,iforest,cos_ref_mean,14611,1461,0.5934621580614351,0.5900625906002192,0.0033995674612159466
keyword,rf,cos_ref_last,14611,1461,0.6705950921682372,0.6759175573790543,-0.00532246521081714
keyword,iforest,cos_ref_last,14611,1461,0.5854011654083484,0.5900625906002192,-0.004661425191870738
keyword,rf,cos_ref_std,14611,1461,0.6735818739703782,0.6759175573790543,-0.0023356834086761813
keyword,iforest,cos_ref_std,14611,1461,0.5921583477122551,0.5900625906002192,0.002095757112035912
keyword,rf,cos_ref_slope,14611,1461,0.6745628937937711,0.6759175573790543,-0.0013546635852832445
keyword,iforest,cos_ref_slope,14611,1461,0.5904961183417785,0.5900625906002192,0.0004335277415593586
keyword,rf,grad_norm_cv,14611,1461,0.6767278779314132,0.6759175573790543,0.0008103205523588564
keyword,iforest,grad_norm_cv,14611,1461,0.5971240074640267,0.5900625906002192,0.007061416863807568
keyword,rf,update_contrib_mean,14611,1461,0.6766813969285063,0.6759175573790543,0.0007638395494519168
keyword,iforest,update_contrib_mean,14611,1461,0.592886845043371,0.5900625906002192,0.002824254443151819
mixed,rf,(none),14819,1400,0.8379079503475882,0.8379079503475882,0.0
mixed,iforest,(none),14819,1400,0.7141681304759775,0.7141681304759775,0.0
mixed,rf,text_nn_sim,14819,1400,0.785684370774914,0.8379079503475882,-0.052223579572674206
mixed,iforest,text_nn_sim,14819,1400,0.6628906241682901,0.7141681304759775,-0.05127750630768735
mixed,rf,loss_mean,14819,1400,0.8352301906678165,0.8379079503475882,-0.002677759679771796
mixed,iforest,loss_mean,14819,1400,0.7174844303918751,0.7141681304759775,0.003316299915897658
mixed,rf,loss_last,14819,1400,0.8369224074606367,0.8379079503475882,-0.0009855428869515181
mixed,iforest,loss_last,14819,1400,0.7194154876348033,0.7141681304759775,0.005247357158825849
mixed,rf,loss_std,14819,1400,0.8401398869406919,0.8379079503475882,0.0022319365931036117
mixed,iforest,loss_std,14819,1400,0.7115786251902954,0.7141681304759775,-0.0025895052856821366
mixed,rf,loss_slope,14819,1400,0.836200669626223,0.8379079503475882,-0.0017072807213652785
mixed,iforest,loss_slope,14819,1400,0.7176662621230026,0.7141681304759775,0.00349813164702506
mixed,rf,loss_min,14819,1400,0.8361385508820115,0.8379079503475882,-0.0017693994655767487
mixed,iforest,loss_min,14819,1400,0.7213220061107385,0.7141681304759775,0.007153875634760998
mixed,rf,converge_epoch,14819,1400,0.8371710687404852,0.8379079503475882,-0.0007368816071030571
mixed,iforest,converge_epoch,14819,1400,0.7223508245238628,0.7141681304759775,0.008182694047885297
mixed,rf,loss_curvature,14819,1400,0.8391603855939872,0.8379079503475882,0.001252435246398953
mixed,iforest,loss_curvature,14819,1400,0.71280763948772,0.7141681304759775,-0.0013604909882575233
mixed,rf,loss_rank,14819,1400,0.837663733725102,0.8379079503475882,-0.000244216622486193
mixed,iforest,loss_rank,14819,1400,0.7121057562305046,0.7141681304759775,-0.002062374245472842
mixed,rf,grad_norm_mean,14819,1400,0.834221413134894,0.8379079503475882,-0.0036865372126942964
mixed,iforest,grad_norm_mean,14819,1400,0.7146601300927257,0.7141681304759775,0.0004919996167481733
mixed,rf,grad_norm_last,14819,1400,0.8335112793161082,0.8379079503475882,-0.004396671031480004
mixed,iforest,grad_norm_last,14819,1400,0.7146378801912001,0.7141681304759775,0.00046974971522262265
mixed,rf,grad_norm_std,14819,1400,0.8380019535200622,0.8379079503475882,9.40031724739887e-05
mixed,iforest,grad_norm_std,14819,1400,0.7152878647546655,0.7141681304759775,0.001119734278688056
mixed,rf,grad_norm_slope,14819,1400,0.8336767163829538,0.8379079503475882,-0.004231233964634429
mixed,iforest,grad_norm_slope,14819,1400,0.7172821053303952,0.7141681304759775,0.003113974854417667
mixed,rf,cos_ref_mean,14819,1400,0.8325843420310222,0.8379079503475882,-0.005323608316566086
mixed,iforest,cos_ref_mean,14819,1400,0.7164615204454239,0.7141681304759775,0.002293389969446391
mixed,rf,cos_ref_last,14819,1400,0.8323178488922955,0.8379079503475882,-0.005590101455292706
mixed,iforest,cos_ref_last,14819,1400,0.7058266530399327,0.7141681304759775,-0.008341477436044742
mixed,rf,cos_ref_std,14819,1400,0.8377815304525567,0.8379079503475882,-0.00012641989503159312
mixed,iforest,cos_ref_std,14819,1400,0.7157323304908818,0.7141681304759775,0.0015642000149043156
mixed,rf,cos_ref_slope,14819,1400,0.8361523639189635,0.8379079503475882,-0.0017555864286247225
mixed,iforest,cos_ref_slope,14819,1400,0.7153317790339923,0.7141681304759775,0.0011636485580147626
mixed,rf,grad_norm_cv,14819,1400,0.8342321388649356,0.8379079503475882,-0.0036758114826526134
mixed,iforest,grad_norm_cv,14819,1400,0.7117070678036473,0.7141681304759775,-0.00246106267233015
mixed,rf,update_contrib_mean,14819,1400,0.837152837660886,0.8379079503475882,-0.0007551126867022528
mixed,iforest,update_contrib_mean,14819,1400,0.712300682401286,0.7141681304759775,-0.0018674480746915245
near_duplicate,rf,(none),14611,1461,0.6963892640854875,0.6963892640854875,0.0
near_duplicate,iforest,(none),14611,1461,0.6074913010777034,0.6074913010777034,0.0
near_duplicate,rf,text_nn_sim,14611,1461,0.6819241729842834,0.6963892640854875,-0.014465091101204086
