dataset,route,n,n_noise,full_auc,full_auc_dir,k,added,auc,auc_dir,features
keyword,iforest,14611,1461,0.5885553152562311,0.5885553152562311,5,loss_std,0.6653375077750278,0.6653375077750278,converge_epoch+grad_norm_last+loss_slope+loss_min+loss_std
keyword,iforest,14611,1461,0.5885553152562311,0.5885553152562311,6,loss_last,0.658229245555547,0.658229245555547,converge_epoch+grad_norm_last+loss_slope+loss_min+loss_std+loss_last
mixed,rf,14819,1400,0.8374086849137149,0.8374086849137149,1,loss_curvature,0.6321523585960206,0.6321523585960206,loss_curvature
mixed,rf,14819,1400,0.8374086849137149,0.8374086849137149,2,text_nn_sim,0.7708266264252178,0.7708266264252178,loss_curvature+text_nn_sim
mixed,rf,14819,1400,0.8374086849137149,0.8374086849137149,3,cos_ref_mean,0.803059760680485,0.803059760680485,loss_curvature+text_nn_sim+cos_ref_mean
mixed,rf,14819,1400,0.8374086849137149,0.8374086849137149,4,loss_rank,0.8182200344926703,0.8182200344926703,loss_curvature+text_nn_sim+cos_ref_mean+loss_rank
mixed,rf,14819,1400,0.8374086849137149,0.8374086849137149,5,cos_ref_last,0.8247039379131935,0.8247039379131935,loss_curvature+text_nn_sim+cos_ref_mean+loss_rank+cos_ref_last
mixed,rf,14819,1400,0.8374086849137149,0.8374086849137149,6,update_contrib_mean,0.8308665484973332,0.8308665484973332,loss_curvature+text_nn_sim+cos_ref_mean+loss_rank+cos_ref_last+update_contrib_mean
mixed,iforest,14819,1400,0.7060117849956884,0.7060117849956884,1,loss_curvature,0.6721745020386871,0.6721745020386871,loss_curvature
mixed,iforest,14819,1400,0.7060117849956884,0.7060117849956884,2,text_nn_sim,0.7838203826131392,0.7838203826131392,loss_curvature+text_nn_sim
mixed,iforest,14819,1400,0.7060117849956884,0.7060117849956884,3,loss_slope,0.791034141356073,0.791034141356073,loss_curvature+text_nn_sim+loss_slope
mixed,iforest,14819,1400,0.7060117849956884,0.7060117849956884,4,loss_mean,0.7946466896617802,0.7946466896617802,loss_curvature+text_nn_sim+loss_slope+loss_mean
mixed,iforest,14819,1400,0.7060117849956884,0.7060117849956884,5,cos_ref_last,0.7872435672234465,0.7872435672234465,loss_curvature+text_nn_sim+loss_slope+loss_mean+cos_ref_last
mixed,iforest,14819,1400,0.7060117849956884,0.7060117849956884,6,loss_rank,0.7830552627936933,0.7830552627936933,loss_curvature+text_nn_sim+loss_slope+loss_mean+cos_ref_last+loss_rank
near_duplicate,rf,14611,1461,0.6947310165702433,0.6947310165702433,1,converge_epoch,0.6365417457182043,0.6365417457182043,converge_epoch
near_duplicate,rf,14611,1461,0.6947310165702433,0.6947310165702433,2,loss_slope,0.5931076167945806,0.5931076167945806,converge_epoch+loss_slope
near_duplicate,rf,14611,1461,0.6947310165702433,0.6947310165702433,3,loss_mean,0.6259727828483538,0.6259727828483538,converge_epoch+loss_slope+loss_mean
near_duplicate,rf,14611,1461,0.6947310165702433,0.6947310165702433,4,text_nn_sim,0.6622337947600867,0.6622337947600867,converge_epoch+loss_slope+loss_mean+text_nn_sim
near_duplicate,rf,14611,1461,0.6947310165702433,0.6947310165702433,5,cos_ref_last,0.6808989884005695,0.6808989884005695,converge_epoch+loss_slope+loss_mean+text_nn_sim+cos_ref_last
near_duplicate,rf,14611,1461,0.6947310165702433,0.6947310165702433,6,cos_ref_slope,0.6904520316570505,0.6904520316570505,converge_epoch+loss_slope+loss_mean+text_nn_sim+cos_ref_last+cos_ref_slope
near_duplicate,iforest,14611,1461,0.6142740921760448,0.6142740921760448,1,converge_epoch,0.6390649667007596,0.6390649667007596,converge_epoch
near_duplicate,iforest,14611,1461,0.6142740921760448,0.6142740921760448,2,grad_norm_last,0.6506000629809781,0.6506000629809781,converge_epoch+grad_norm_last
near_duplicate,iforest,14611,1461,0.6142740921760448,0.6142740921760448,3,loss_slope,0.6499520095356324,0.6499520095356324,converge_epoch+grad_norm_last+loss_slope
near_duplicate,iforest,14611,1461,0.6142740921760448,0.6142740921760448,4,loss_curvature,0.6478899290292861,0.6478899290292861,converge_epoch+grad_norm_last+loss_slope+loss_curvature
near_duplicate,iforest,14611,1461,0.6142740921760448,0.6142740921760448,5,text_nn_sim,0.6444361771066747,0.6444361771066747,converge_epoch+grad_norm_last+loss_slope+loss_curvature+text_nn_sim
near_duplicate,iforest,14611,1461,0.6142740921760448,0.6142740921760448,6,loss_last,0.6470691723726912,0.6470691723726912,converge_epoch+grad_norm_last+loss_slope+loss_curvature+text_nn_sim+loss_last
template,rf,14611,1461,0.9945900641000616,0.9945900641000616,1,loss_curvature,0.9301496969365739,0.9301496969365739,loss_curvature
template,rf,14611,1461,0.9945900641000616,0.9945900641000616,2,cos_ref_mean,0.9702090864374887,0.9702090864374887,loss_curvature+cos_ref_mean
template,rf,14611,1461,0.9945900641000616,0.9945900641000616,3,grad_norm_slope,0.9860484641229638,0.9860484641229638,loss_curvature+cos_ref_mean+grad_norm_slope
template,rf,14611,1461,0.9945900641000616,0.9945900641000616,4,text_nn_sim,0.9910368698974347,0.9910368698974347,loss_curvature+cos_ref_mean+grad_norm_slope+text_nn_sim
template,rf,14611,1461,0.9945900641000616,0.9945900641000616,5,grad_norm_mean,0.9931226853839887,0.9931226853839887,loss_curvature+cos_ref_mean+grad_norm_slope+text_nn_sim+grad_norm_mean
template,rf,14611,1461,0.9945900641000616,0.9945900641000616,6,loss_rank,0.9935461934244736,0.9935461934244736,loss_curvature+cos_ref_mean+grad_norm_slope+text_nn_sim+grad_norm_mean+loss_rank
template,iforest,14611,1461,0.5368478280671346,0.5368478280671346,1,loss_min,0.158986422654414,0.841013577345586,loss_min
template,iforest,14611,1461,0.5368478280671346,0.5368478280671346,2,converge_epoch,0.14512147260978078,0.8548785273902192,loss_min+converge_epoch
template,iforest,14611,1461,0.5368478280671346,0.5368478280671346,3,grad_norm_slope,0.12526351813826148,0.8747364818617385,loss_min+converge_epoch+grad_norm_slope
template,iforest,14611,1461,0.5368478280671346,0.5368478280671346,4,loss_last,0.12671575018933331,0.8732842498106667,loss_min+converge_epoch+grad_norm_slope+loss_last
template,iforest,14611,1461,0.5368478280671346,0.5368478280671346,5,grad_norm_last,0.13390677253717048,0.8660932274628295,loss_min+converge_epoch+grad_norm_slope+loss_last+grad_norm_last
template,iforest,14611,1461,0.5368478280671346,0.5368478280671346,6,grad_norm_std,0.15793229805097297,0.842067701949027,loss_min+converge_epoch+grad_norm_slope+loss_last+grad_norm_last+grad_norm_std
truncation,rf,14611,1461,0.7841542461411137,0.7841542461411137,1,converge_epoch,0.6579570740390848,0.6579570740390848,converge_epoch
truncation,rf,14611,1461,0.7841542461411137,0.7841542461411137,2,loss_std,0.6498222739256146,0.6498222739256146,converge_epoch+loss_std
truncation,rf,14611,1461,0.7841542461411137,0.7841542461411137,3,grad_norm_cv,0.7180065479397152,0.7180065479397152,converge_epoch+loss_std+grad_norm_cv
truncation,rf,14611,1461,0.7841542461411137,0.7841542461411137,4,cos_ref_last,0.7453477617028808,0.7453477617028808,converge_epoch+loss_std+grad_norm_cv+cos_ref_last
truncation,rf,14611,1461,0.7841542461411137,0.7841542461411137,5,text_nn_sim,0.7619024679694881,0.7619024679694881,converge_epoch+loss_std+grad_norm_cv+cos_ref_last+text_nn_sim
truncation,rf,14611,1461,0.7841542461411137,0.7841542461411137,6,grad_norm_slope,0.7735187108158118,0.7735187108158118,converge_epoch+loss_std+grad_norm_cv+cos_ref_last+text_nn_sim+grad_norm_slope
truncation,iforest,14611,1461,0.5798389560772739,0.5798389560772739,1,loss_slope,0.6342988681641566,0.6342988681641566,loss_slope
truncation,iforest,14611,1461,0.5798389560772739,0.5798389560772739,2,grad_norm_slope,0.6403023086952788,0.6403023086952788,loss_slope+grad_norm_slope
truncation,iforest,14611,1461,0.5798389560772739,0.5798389560772739,3,cos_ref_last,0.6496929807439562,0.6496929807439562,loss_slope+grad_norm_slope+cos_ref_last
truncation,iforest,14611,1461,0.5798389560772739,0.5798389560772739,4,loss_std,0.6476689490764959,0.6476689490764959,loss_slope+grad_norm_slope+cos_ref_last+loss_std
truncation,iforest,14611,1461,0.5798389560772739,0.5798389560772739,5,converge_epoch,0.6501375431692966,0.6501375431692966,loss_slope+grad_norm_slope+cos_ref_last+loss_std+converge_epoch
truncation,iforest,14611,1461,0.5798389560772739,0.5798389560772739,6,grad_norm_cv,0.6545182085294983,0.6545182085294983,loss_slope+grad_norm_slope+cos_ref_last+loss_std+converge_epoch+grad_norm_cv
unrelated,rf,14611,1461,0.944705381750611,0.944705381750611,1,text_nn_sim,0.7193130649094454,0.7193130649094454,text_nn_sim
unrelated,rf,14611,1461,0.944705381750611,0.944705381750611,2,loss_curvature,0.8960643655186952,0.8960643655186952,text_nn_sim+loss_curvature
unrelated,rf,14611,1461,0.944705381750611,0.944705381750611,3,update_contrib_mean,0.9198902517417363,0.9198902517417363,text_nn_sim+loss_curvature+update_contrib_mean
unrelated,rf,14611,1461,0.944705381750611,0.944705381750611,4,loss_std,0.9336575292197905,0.9336575292197905,text_nn_sim+loss_curvature+update_contrib_mean+loss_std
unrelated,rf,14611,1461,0.944705381750611,0.944705381750611,5,loss_rank,0.9374091655540895,0.9374091655540895,text_nn_sim+loss_curvature+update_contrib_mean+loss_std+loss_rank
unrelated,rf,14611,1461,0.944705381750611,0.944705381750611,6,cos_ref_last,0.940414217044943,0.940414217044943,text_nn_sim+loss_curvature+update_contrib_mean+loss_std+loss_rank+cos_ref_last
unrelated,iforest,14611,1461,0.6411432869304061,0.6411432869304061,1,text_nn_sim,0.7835745088394583,0.7835745088394583,text_nn_sim
unrelated,iforest,14611,1461,0.6411432869304061,0.6411432869304061,2,loss_std,0.846343017309359,0.846343017309359,text_nn_sim+loss_std
unrelated,iforest,14611,1461,0.6411432869304061,0.6411432869304061,3,loss_slope,0.839656701618507,0.839656701618507,text_nn_sim+loss_std+loss_slope
unrelated,iforest,14611,1461,0.6411432869304061,0.6411432869304061,4,grad_norm_slope,0.828709020073235,0.828709020073235,text_nn_sim+loss_std+loss_slope+grad_norm_slope
unrelated,iforest,14611,1461,0.6411432869304061,0.6411432869304061,5,loss_last,0.8101626835101746,0.8101626835101746,text_nn_sim+loss_std+loss_slope+grad_norm_slope+loss_last
unrelated,iforest,14611,1461,0.6411432869304061,0.6411432869304061,6,grad_norm_last,0.7916402901289028,0.7916402901289028,text_nn_sim+loss_std+loss_slope+grad_norm_slope+loss_last+grad_norm_last
