dataset,route,dropped,n,n_noise,auc,full_auc,delta
duplicate,rf,cos_ref_slope,16072,1461,0.983988533856169,0.9837548440222834,0.0002336898338856086
duplicate,iforest,cos_ref_slope,16072,1461,0.5202704440425394,0.5277548428979862,-0.007484398855446828
duplicate,rf,grad_norm_cv,16072,1461,0.9831368085449951,0.9837548440222834,-0.0006180354772883367
duplicate,iforest,grad_norm_cv,16072,1461,0.4897857375513025,0.5277548428979862,-0.03796910534668374
duplicate,rf,cos_ref_trend,16072,1461,0.9841794769779325,0.9837548440222834,0.00042463295564909576
duplicate,iforest,cos_ref_trend,16072,1461,0.5327433959140514,0.5277548428979862,0.004988553016065156
duplicate,rf,update_contrib_mean,16072,1461,0.9829748394960507,0.9837548440222834,-0.0007800045262327249
duplicate,iforest,update_contrib_mean,16072,1461,0.5378532324782632,0.5277548428979862,0.010098389580276979
garbled,rf,(none),14611,1461,0.9957252832192129,0.9957252832192129,0.0
garbled,iforest,(none),14611,1461,0.931732211126813,0.931732211126813,0.0
garbled,rf,text_nn_sim,14611,1461,0.9952020205963414,0.9957252832192129,-0.0005232626228715009
garbled,iforest,text_nn_sim,14611,1461,0.939273949037458,0.931732211126813,0.007541737910644941
garbled,rf,loss_mean,14611,1461,0.995490614012487,0.9957252832192129,-0.00023466920672599034
garbled,iforest,loss_mean,14611,1461,0.9141347532681143,0.931732211126813,-0.017597457858698706
garbled,rf,loss_last,14611,1461,0.9955047977451769,0.9957252832192129,-0.00022048547403608065
garbled,iforest,loss_last,14611,1461,0.905438901944863,0.931732211126813,-0.026293309181950053
garbled,rf,loss_std,14611,1461,0.9947074117160233,0.9957252832192129,-0.0010178715031896601
garbled,iforest,loss_std,14611,1461,0.923628693300854,0.931732211126813,-0.008103517825959083
garbled,rf,loss_slope,14611,1461,0.9953417238570385,0.9957252832192129,-0.0003835593621744904
garbled,iforest,loss_slope,14611,1461,0.9296332268902752,0.931732211126813,-0.002098984236537871
garbled,rf,loss_min,14611,1461,0.9961797872700349,0.9957252832192129,0.00045450405082192447
garbled,iforest,loss_min,14611,1461,0.9119512391897835,0.931732211126813,-0.019780971937029546
garbled,rf,converge_epoch,14611,1461,0.9959959973246096,0.9957252832192129,0.0002707141053966966
garbled,iforest,converge_epoch,14611,1461,0.9194303084246166,0.931732211126813,-0.012301902702196443
garbled,rf,loss_curvature,14611,1461,0.9954949862456831,0.9957252832192129,-0.00023029697352983103
garbled,iforest,loss_curvature,14611,1461,0.9239404231176626,0.931732211126813,-0.00779178800915048
garbled,rf,loss_rank,14611,1461,0.9952227887040233,0.9957252832192129,-0.0005024945151896887
garbled,iforest,loss_rank,14611,1461,0.9290258508287724,0.931732211126813,-0.002706360298040611
garbled,rf,grad_norm_mean,14611,1461,0.9954752070955099,0.9957252832192129,-0.0002500761237030913
garbled,iforest,grad_norm_mean,14611,1461,0.9330872390648626,0.931732211126813,0.0013550279380495356
garbled,rf,grad_norm_last,14611,1461,0.995166261974844,0.9957252832192129,-0.0005590212443689069
garbled,iforest,grad_norm_last,14611,1461,0.9324392116447145,0.931732211126813,0.0007070005179015126
garbled,rf,grad_norm_std,14611,1461,0.9952969084667775,0.9957252832192129,-0.0004283747524354009
garbled,iforest,grad_norm_std,14611,1461,0.9353602798229247,0.931732211126813,0.0036280686961116526
garbled,rf,grad_norm_slope,14611,1461,0.9953443263767981,0.9957252832192129,-0.00038095684241479244
garbled,iforest,grad_norm_slope,14611,1461,0.9278173447531901,0.931732211126813,-0.003914866373622927
garbled,rf,cos_ref_mean,14611,1461,0.9954175612828341,0.9957252832192129,-0.00030772193637884637
garbled,iforest,cos_ref_mean,14611,1461,0.932709040893393,0.931732211126813,0.0009768297665799786
garbled,rf,cos_ref_last,14611,1461,0.9957282761169365,0.9957252832192129,2.99289772354161e-06
garbled,iforest,cos_ref_last,14611,1461,0.9304906009998881,0.931732211126813,-0.0012416101269249191
garbled,rf,cos_ref_std,14611,1461,0.9949914767477872,0.9957252832192129,-0.0007338064714257353
garbled,iforest,cos_ref_std,14611,1461,0.925936920126066,0.931732211126813,-0.005795291000747049
garbled,rf,cos_ref_slope,14611,1461,0.9958395858870558,0.9957252832192129,0.00011430266784284715
garbled,iforest,cos_ref_slope,14611,1461,0.931420377209214,0.931732211126813,-0.0003118339175990359
garbled,rf,grad_norm_cv,14611,1461,0.9961867620229907,0.9957252832192129,0.0004614788037777817
garbled,iforest,grad_norm_cv,14611,1461,0.9354197213742346,0.931732211126813,0.0036875102474215327
garbled,rf,cos_ref_trend,14611,1461,0.9956991799460237,0.9957252832192129,-2.6103273189193033e-05
garbled,iforest,cos_ref_trend,14611,1461,0.9323445319758591,0.931732211126813,0.0006123208490460552
garbled,rf,update_contrib_mean,14611,1461,0.9950808212511353,0.9957252832192129,-0.0006444619680776587
garbled,iforest,update_contrib_mean,14611,1461,0.926823234255406,0.931732211126813,-0.0049089768714070114
keyword,rf,(none),14611,1461,0.6721462720205704,0.6721462720205704,0.0
keyword,iforest,(none),14611,1461,0.5885553152562311,0.5885553152562311,0.0
keyword,rf,text_nn_sim,14611,1461,0.6701697363387232,0.6721462720205704,-0.0019765356818471913
keyword,iforest,text_nn_sim,14611,1461,0.5930434126321104,0.5885553152562311,0.004488097375879296
keyword,rf,loss_mean,14611,1461,0.6757258817987577,0.6721462720205704,0.003579609778187276
keyword,iforest,loss_mean,14611,1461,0.591309041413897,0.5885553152562311,0.0027537261576658922
keyword,rf,loss_last,14611,1461,0.6752157879258698,0.6721462720205704,0.003069515905299358
keyword,iforest,loss_last,14611,1461,0.5841211941401665,0.5885553152562311,-0.00443412111606456
keyword,rf,loss_std,14611,1461,0.6776820397508869,0.6721462720205704,0.005535767730316499
keyword,iforest,loss_std,14611,1461,0.5878108384537909,0.5885553152562311,-0.0007444768024401638
keyword,rf,loss_slope,14611,1461,0.6708678622642442,0.6721462720205704,-0.0012784097563262042
keyword,iforest,loss_slope,14611,1461,0.5864708010295567,0.5885553152562311,-0.0020845142266743277
keyword,rf,loss_min,14611,1461,0.6764258034629127,0.6721462720205704,0.004279531442342277
keyword,iforest,loss_min,14611,1461,0.5838135242541829,0.5885553152562311,-0.00474179100204819
keyword,rf,converge_epoch,14611,1461,0.6734149483529953,0.6721462720205704,0.0012686763324248895
keyword,iforest,converge_epoch,14611,1461,0.5746695710787185,0.5885553152562311,-0.013885744177512538
keyword,rf,loss_curvature,14611,1461,0.6749436164094076,0.6721462720205704,0.002797344388837164
keyword,iforest,loss_curvature,14611,1461,0.593471839434941,0.5885553152562311,0.004916524178709913
keyword,rf,loss_rank,14611,1461,0.676946958044779,0.6721462720205704,0.004800686024208578
keyword,iforest,loss_rank,14611,1461,0.5898858795085402,0.5885553152562311,0.001330564252309152
keyword,rf,grad_norm_mean,14611,1461,0.6757839440145947,0.6721462720205704,0.0036376719940243163
keyword,iforest,grad_norm_mean,14611,1461,0.5854282316138485,0.5885553152562311,-0.0031270836423825665
keyword,rf,grad_norm_last,14611,1461,0.6748189296877237,0.6721462720205704,0.0026726576671532998
keyword,iforest,grad_norm_last,14611,1461,0.5786889025954929,0.5885553152562311,-0.009866412660738177
keyword,rf,grad_norm_std,14611,1461,0.6756540522533919,0.6721462720205704,0.0035077802328215
keyword,iforest,grad_norm_std,14611,1461,0.5832038059248965,0.5885553152562311,-0.005351509331334547
keyword,rf,grad_norm_slope,14611,1461,0.6772491366140697,0.6721462720205704,0.00510286459349929
keyword,iforest,grad_norm_slope,14611,1461,0.5821296939697015,0.5885553152562311,-0.00642562128652957
keyword,rf,cos_ref_mean,14611,1461,0.6766533157402997,0.6721462720205704,0.00450704371972932
keyword,iforest,cos_ref_mean,14611,1461,0.5903855112519942,0.5885553152562311,0.001830195995763173
keyword,rf,cos_ref_last,14611,1461,0.6685146378723881,0.6721462720205704,-0.00363163414818235
keyword,iforest,cos_ref_last,14611,1461,0.5840765349010912,0.5885553152562311,-0.004478780355139822
keyword,rf,cos_ref_std,14611,1461,0.6770457496948544,0.6721462720205704,0.004899477674284003
keyword,iforest,cos_ref_std,14611,1461,0.5895642080662498,0.5885553152562311,0.0010088928100187022
keyword,rf,cos_ref_slope,14611,1461,0.6749995966094373,0.6721462720205704,0.00285332458886689
keyword,iforest,cos_ref_slope,14611,1461,0.5901529500862736,0.5885553152562311,0.0015976348300424936
keyword,rf,grad_norm_cv,14611,1461,0.6773431656529851,0.6721462720205704,0.005196893632414712
keyword,iforest,grad_norm_cv,14611,1461,0.5901135479371127,0.5885553152562311,0.0015582326808816216
keyword,rf,cos_ref_trend,14611,1461,0.6759175573790543,0.6721462720205704,0.0037712853584839223
keyword,iforest,cos_ref_trend,14611,1461,0.5900625906002192,0.5885553152562311,0.0015072753439880904
keyword,rf,update_contrib_mean,14611,1461,0.673497109901807,0.6721462720205704,0.0013508378812365773
keyword,iforest,update_contrib_mean,14611,1461,0.5870755225209048,0.5885553152562311,-0.0014797927353262796
mixed,rf,(none),14819,1400,0.8374086849137149,0.8374086849137149,0.0
mixed,iforest,(none),14819,1400,0.7060117849956884,0.7060117849956884,0.0
mixed,rf,text_nn_sim,14819,1400,0.7779251700680272,0.8374086849137149,-0.0594835148456877
mixed,iforest,text_nn_sim,14819,1400,0.650220795673512,0.7060117849956884,-0.05579098932217641
mixed,rf,loss_mean,14819,1400,0.834111840354295,0.8374086849137149,-0.0032968445594199203
mixed,iforest,loss_mean,14819,1400,0.7053534966412229,0.7060117849956884,-0.0006582883544654639
mixed,rf,loss_last,14819,1400,0.8348649569373915,0.8374086849137149,-0.0025437279763234066
mixed,iforest,loss_last,14819,1400,0.7102430455750376,0.7060117849956884,0.004231260579349194
mixed,rf,loss_std,14819,1400,0.8361591240565084,0.8374086849137149,-0.0012495608572065109
mixed,iforest,loss_std,14819,1400,0.7064801507457443,0.7060117849956884,0.0004683657500559324
mixed,rf,loss_slope,14819,1400,0.8362880989641552,0.8374086849137149,-0.0011205859495596604
mixed,iforest,loss_slope,14819,1400,0.702316757688991,0.7060117849956884,-0.0036950273066973516
mixed,rf,loss_min,14819,1400,0.8372965837352154,0.8374086849137149,-0.00011210117849946855
mixed,iforest,loss_min,14819,1400,0.7088888356594594,0.7060117849956884,0.0028770506637709747
mixed,rf,converge_epoch,14819,1400,0.8346280327467449,0.8374086849137149,-0.002780652166969988
mixed,iforest,converge_epoch,14819,1400,0.7122695964144656,0.7060117849956884,0.006257811418777237
mixed,rf,loss_curvature,14819,1400,0.8354444657362162,0.8374086849137149,-0.0019642191774986717
mixed,iforest,loss_curvature,14819,1400,0.7061854726241044,0.7060117849956884,0.00017368762841596386
mixed,rf,loss_rank,14819,1400,0.8355230856035684,0.8374086849137149,-0.0018855993101465351
mixed,iforest,loss_rank,14819,1400,0.7098067239415329,0.7060117849956884,0.0037949389458444838
mixed,rf,grad_norm_mean,14819,1400,0.8324846965390226,0.8374086849137149,-0.004923988374692323
mixed,iforest,grad_norm_mean,14819,1400,0.7105966486751196,0.7060117849956884,0.004584863679431228
mixed,rf,grad_norm_last,14819,1400,0.8357509607912023,0.8374086849137149,-0.0016577241225126382
mixed,iforest,grad_norm_last,14819,1400,0.7114475211054688,0.7060117849956884,0.005435736109780431
mixed,rf,grad_norm_std,14819,1400,0.8371278464437417,0.8374086849137149,-0.00028083846997317696
mixed,iforest,grad_norm_std,14819,1400,0.7093635889410538,0.7060117849956884,0.0033518039453653836
mixed,rf,grad_norm_slope,14819,1400,0.8336073318216175,0.8374086849137149,-0.0038013530920973926
mixed,iforest,grad_norm_slope,14819,1400,0.712082601428678,0.7060117849956884,0.0060708164329895675
mixed,rf,cos_ref_mean,14819,1400,0.8334292793799836,0.8374086849137149,-0.003979405533731328
mixed,iforest,cos_ref_mean,14819,1400,0.7125159422141314,0.7060117849956884,0.006504157218442996
mixed,rf,cos_ref_last,14819,1400,0.8324446147786188,0.8374086849137149,-0.004964070135096144
mixed,iforest,cos_ref_last,14819,1400,0.7003966124791074,0.7060117849956884,-0.005615172516580946
mixed,rf,cos_ref_std,14819,1400,0.8367118052228716,0.8374086849137149,-0.0006968796908433106
mixed,iforest,cos_ref_std,14819,1400,0.7114088233102318,0.7060117849956884,0.005397038314543412
mixed,rf,cos_ref_slope,14819,1400,0.8377065301864095,0.8374086849137149,0.0002978452726946079
mixed,iforest,cos_ref_slope,14819,1400,0.7135581744434862,0.7060117849956884,0.007546389447797841
mixed,rf,grad_norm_cv,14819,1400,0.8346229227215143,0.8374086849137149,-0.0027857621922006137
mixed,iforest,grad_norm_cv,14819,1400,0.7086537212694155,0.7060117849956884,0.002641936273727108
mixed,rf,cos_ref_trend,14819,1400,0.8379079503475882,0.8374086849137149,0.0004992654338733526
mixed,iforest,cos_ref_trend,14819,1400,0.7141681304759775,0.7060117849956884,0.008156345480289096
mixed,rf,update_contrib_mean,14819,1400,0.8338532251711327,0.8374086849137149,-0.003555459742582201
mixed,iforest,update_contrib_mean,14819,1400,0.7079661567287321,0.7060117849956884,0.0019543717330436916
near_duplicate,rf,(none),14611,1461,0.6947310165702433,0.6947310165702433,0.0
near_duplicate,iforest,(none),14611,1461,0.6142740921760448,0.6142740921760448,0.0
near_duplicate,rf,text_nn_sim,14611,1461,0.6830218897936982,0.6947310165702433,-0.01170912677654512
near_duplicate,iforest,text_nn_sim,14611,1461,0.6077453590566386,0.6142740921760448,-0.00652873311940616
