max_epoch,dataset,scorer,n,n_noise,auc,p_at_10,random_p
3,garbled,low_loss_only,14611,1461,0.03403190168721355,0.0027378507871321013,0.0999931558414893
3,keyword,memo_signed,14611,1461,0.3240535286264161,0.05270362765229295,0.0999931558414893
3,keyword,low_loss_only,14611,1461,0.364755532306379,0.06023271731690623,0.0999931558414893
3,mixed,memo_signed,14819,1400,0.3663977515888985,0.12685560053981107,0.0944733112895607
3,mixed,low_loss_only,14819,1400,0.40958603472687977,0.1126855600539811,0.0944733112895607
3,near_duplicate,memo_signed,14611,1461,0.33778416262625477,0.06297056810403832,0.0999931558414893
3,near_duplicate,low_loss_only,14611,1461,0.3724564143003256,0.06844626967830253,0.0999931558414893
3,template,memo_signed,14611,1461,0.922976970302647,0.5537303216974675,0.0999931558414893
3,template,low_loss_only,14611,1461,0.9350767092699152,0.5277207392197125,0.0999931558414893
3,truncation,memo_signed,14611,1461,0.31150147172492404,0.004791238877481177,0.0999931558414893
3,truncation,low_loss_only,14611,1461,0.43516774541110703,0.00889801505817933,0.0999931558414893
3,unrelated,memo_signed,14611,1461,0.24906769934650727,0.0027378507871321013,0.0999931558414893
3,unrelated,low_loss_only,14611,1461,0.32697933339058877,0.0013689253935660506,0.0999931558414893
4,duplicate,memo_signed,16072,1461,0.6535121565325104,0.16925948973242066,0.09090343454454952
4,duplicate,low_loss_only,16072,1461,0.6612449781982399,0.1717485998755445,0.09090343454454952
4,garbled,memo_signed,14611,1461,0.017096524855364968,0.0013689253935660506,0.0999931558414893
4,garbled,low_loss_only,14611,1461,0.04297337882537873,0.0027378507871321013,0.0999931558414893
4,keyword,memo_signed,14611,1461,0.32960860705334905,0.05612594113620808,0.0999931558414893
