dataset,feature,importance,importance_std,n,n_noise,rank
garbled,max_token_loss,-1.2553802008566929e-05,6.150081850598066e-05,904,85,28
garbled,cos_ref_last,-1.2696833933297793e-05,6.0692146866520845e-05,904,85,29
garbled,token_loss_skew,-1.6173609949694518e-05,0.00038774053378651577,904,85,30
garbled,n_hard,-2.3644277402687934e-05,0.0001368937216886475,904,85,31
garbled,text_nn_sim,-2.6912006759858274e-05,7.93947330930581e-05,904,85,32
garbled,cos_global_last,-2.8848438971548204e-05,4.922240479053692e-05,904,85,33
garbled,loss_min,-3.9696860339223366e-05,0.0001575727200913956,904,85,34
garbled,loss_last,-0.00011860647296473626,0.0002889320378947915,904,85,35
garbled,loss_rank,-0.0001509096830412526,0.00045836970573029314,904,85,36
keyword,loss_slope,0.020136561869498158,0.019807470893642196,906,87,1
keyword,hard_loss_max,0.008035716905346584,0.012572999139511444,906,87,2
keyword,cos_global_slope,0.007275741223218791,0.004567987537660311,906,87,3
keyword,hard_pos_jaccard,0.006916438304585134,0.005033702693625574,906,87,4
keyword,entropy,0.005997986917346604,0.005958874632552353,906,87,5
keyword,max_token_loss,0.005082446290901006,0.00590031449027733,906,87,6
keyword,frac_hard,0.004326682104334558,0.007404545670800908,906,87,7
keyword,token_loss_kurt,0.0027142813831602707,0.003146383016934326,906,87,8
keyword,cos_global_last,0.002453201054475359,0.005225554041520953,906,87,9
keyword,hard_pos_std_mean,0.00190248352321126,0.008115194240937238,906,87,10
keyword,cos_ref_slope,0.001104156336583209,0.007616388286647524,906,87,11
keyword,cos_global_std,0.0010254404894283454,0.011602722802111939,906,87,12
keyword,grad_norm_last,0.0008984782625704142,0.010539899244119952,906,87,13
keyword,update_contrib_mean,-0.00010751905380836994,0.028839107321223145,906,87,14
keyword,loss_curvature,-0.00024337859988128146,0.0074609364397442285,906,87,15
keyword,loss_last,-0.0006847604496434762,0.011677529620346109,906,87,16
keyword,converge_epoch,-0.0006861003042545737,0.004826135541319599,906,87,17
keyword,loss_min,-0.0009527142569332739,0.010576023163964972,906,87,18
keyword,token_loss_skew,-0.001948962786271688,0.011923394784686207,906,87,19
keyword,grad_norm_slope,-0.0026065214978205527,0.012346057231218916,906,87,20
keyword,grad_norm_cv,-0.002913091479796071,0.010823522608567025,906,87,21
keyword,cos_ref_std,-0.003724972469410737,0.009064207193069525,906,87,22
keyword,loss_mean,-0.003960725756211013,0.005296816238406154,906,87,23
keyword,loss_rank,-0.004195666083781013,0.008344033773061598,906,87,24
keyword,hard_loss_mean,-0.004447238456956922,0.007826395060784015,906,87,25
keyword,cos_ref_mean,-0.00481294969481634,0.004398225815730385,906,87,26
keyword,cos_ref_last,-0.005208093724297056,0.0064805306947128185,906,87,27
keyword,grad_norm_mean,-0.005392120187892613,0.012157587666696366,906,87,28
keyword,hard_id_uniq,-0.005595105105237285,0.02109861570034739,906,87,29
keyword,n_hard,-0.006378034966293365,0.0052434457160579154,906,87,30
keyword,cos_global_mean,-0.00688499022981931,0.004569399720885687,906,87,31
keyword,text_nn_sim,-0.007642624222615385,0.00994515162667083,906,87,32
keyword,loss_std,-0.00794929933916806,0.015785618726856018,906,87,33
keyword,grad_norm_std,-0.008472055962890922,0.005425373514028102,906,87,34
keyword,user_loss,-0.008529651984989731,0.006251365743727902,906,87,35
keyword,hard_pos_peak,-0.01108035191232462,0.01205378653773364,906,87,36
near_duplicate,hard_loss_max,0.02432178662277421,0.016878462327631096,906,87,1
near_duplicate,max_token_loss,0.023879692058378556,0.018660169650568388,906,87,2
near_duplicate,token_loss_skew,0.013014658816292235,0.010484773426738137,906,87,3
near_duplicate,grad_norm_mean,0.012212126857825783,0.007726749581842221,906,87,4
near_duplicate,hard_pos_peak,0.011226976138851964,0.010377137531745833,906,87,5
near_duplicate,loss_slope,0.010335007662599182,0.010738018517167986,906,87,6
