train_type,test_type,auc,auc_dir,within_type_auc,retention,p_at_10,random_p,is_diagonal
duplicate,template,0.8400115473441108,0.8400115473441108,0.9996680138568128,0.8402905121503964,0.16483516483516483,0.04415011037527594,False
garbled,template,0.3676674364896074,0.6323325635103926,0.9996680138568128,0.3677895375196732,0.0,0.04415011037527594,False
keyword,template,0.6942407621247113,0.6942407621247113,0.9996680138568128,0.6944713169787893,0.06593406593406594,0.04415011037527594,False
near_duplicate,template,0.8185479214780601,0.8185479214780601,0.9996680138568128,0.8188197582915808,0.10989010989010989,0.04415011037527594,False
template,template,0.9996680138568128,0.9996680138568128,0.9996680138568128,1.0,,0.04415011037527594,True
truncation,template,0.4527713625866051,0.5472286374133949,0.9996680138568128,0.452921726323693,0.01098901098901099,0.04415011037527594,False
unrelated,template,0.4265588914549654,0.5734411085450346,0.9996680138568128,0.4267005501248972,0.03296703296703297,0.04415011037527594,False
duplicate,truncation,0.5708681234085391,0.5708681234085391,0.7643749629892816,0.7468430430740626,0.05555555555555555,0.0430939226519337,False
garbled,truncation,0.6028157754485699,0.6028157754485699,0.7643749629892816,0.7886388286334057,0.08888888888888889,0.0430939226519337,False
keyword,truncation,0.760437022561734,0.760437022561734,0.7643749629892816,0.9948481561822128,0.18888888888888888,0.0430939226519337,False
near_duplicate,truncation,0.7413691004915024,0.7413691004915024,0.7643749629892816,0.9699023861171367,0.14444444444444443,0.0430939226519337,False
template,truncation,0.5535619115295789,0.5535619115295789,0.7643749629892816,0.7242020452432599,0.022222222222222223,0.0430939226519337,False
truncation,truncation,0.7643749629892816,0.7643749629892816,0.7643749629892816,1.0,,0.0430939226519337,True
unrelated,truncation,0.7890241013797595,0.7890241013797595,0.7643749629892816,1.032247443445925,0.18888888888888888,0.0430939226519337,False
duplicate,unrelated,0.8742782909930715,0.8742782909930715,0.9672777136258661,0.9038544759971945,0.23076923076923078,0.04415011037527594,False
garbled,unrelated,0.7063077367205544,0.7063077367205544,0.9672777136258661,0.730201602674108,0.10989010989010989,0.04415011037527594,False
keyword,unrelated,0.8314665127020786,0.8314665127020786,0.9672777136258661,0.8595944070553475,0.2087912087912088,0.04415011037527594,False
near_duplicate,unrelated,0.8480369515011548,0.8480369515011548,0.9672777136258661,0.8767254114873233,0.21978021978021978,0.04415011037527594,False
template,unrelated,0.420958429561201,0.579041570438799,0.9672777136258661,0.4351991404652829,0.0,0.04415011037527594,False
truncation,unrelated,0.8154878752886835,0.8154878752886835,0.9672777136258661,0.8430752242102277,0.23076923076923078,0.04415011037527594,False
unrelated,unrelated,0.9672777136258661,0.9672777136258661,0.9672777136258661,1.0,,0.04415011037527594,True
